Caso,Vertices,Arestas,Threads,Tempo_Medio,Aceleracao,Eficiencia
Grafo médio, densidade média,1000,10000,1,0.1366,1.00,1.00
Grafo médio, densidade média,1000,10000,2,0.2946,0.46,0.23
Grafo médio, densidade média,1000,10000,4,0.3647,0.37,0.09
Grafo médio, densidade média,1000,10000,8,0.6093,0.22,0.03
Grafo grande, densidade média,5000,50000,1,5.7304,1.00,1.00
Grafo grande, densidade média,5000,50000,2,5.6889,1.01,0.50
Grafo grande, densidade média,5000,50000,4,4.3006,1.33,0.33
Grafo grande, densidade média,5000,50000,8,4.6947,1.22,0.15
Grafo muito grande, densidade média,10000,100000,1,26.0421,1.00,1.00
Grafo muito grande, densidade média,10000,100000,2,20.6131,1.26,0.63
Grafo muito grande, densidade média,10000,100000,4,14.3155,1.82,0.45
Grafo muito grande, densidade média,10000,100000,8,13.0998,1.99,0.25
